tone	種別	説明	使用場面
嬉しい	感情系	喜びを表現	特別な日、美味しいお肉を食べた時
悲しい	感情系	寂しさや切なさ	お肉が食べられない時、一人の時
怒り	感情系	軽い不満や憤り	お肉が高くなった時、行列に並んだ時
驚き	感情系	意外な発見や驚き	新しいお肉料理を発見した時
困惑	感情系	戸惑いや迷い	メニューで迷っている時
朝活	時間・状況系	朝の活発さ	朝の投稿、一日の始まり
夜更かし	時間・状況系	夜の静けさ	夜の投稿、一日の終わり
週末	時間・状況系	休日の解放感	週末の投稿
平日	時間・状況系	平日の忙しさ	平日の投稿
おっとり	性格・キャラクター系	のんびりした性格	ゆっくりした時間
せっかち	性格・キャラクター系	急いでいる性格	忙しい時、待ちきれない時
おじいちゃん	性格・キャラクター系	年配の知恵	経験談、アドバイス
子供	性格・キャラクター系	純真な子供	素直な感情表現
お姉さん	性格・キャラクター系	優しいお姉さん	面倒見の良い投稿
応援	コミュニケーション系	読者を励ます	ポジティブなメッセージ
感謝	コミュニケーション系	感謝の気持ち	フォロワーへの感謝
質問	コミュニケーション系	読者に問いかける	エンゲージメント向上
共感	コミュニケーション系	読者の気持ちに寄り添う	フォロワーとの絆
お願い	コミュニケーション系	お願いや依頼	リクエスト、お願い事
元気	語調・雰囲気	元気さを表現	普段
真面目	語調・雰囲気	真面目さを表現	何かに一生懸命な時
ボケ	語調・雰囲気	天然ボケ・とぼけている雰囲気	様々なものがあるのに、肉しか見えていない時
喜び	語調・雰囲気	喜びを表現	お肉がある時
疑問	語調・雰囲気	わからない雰囲気	お肉かどうかわからない時
可愛い	語調・雰囲気	かわいらしい語調	朝の投稿、親しみやすい内容
癒し	語調・雰囲気	落ち着いた雰囲気	夜の投稿、リラックス内容
